Name,2001-StateCode,2001-DistrictCode,2011-StateCode,2011-DistrictCode,
JAMMU AND KASHMIR,1,0,1,0,
Anantnag,1,6,1,14,
Budgam,1,2,1,2,
Bandipore,1,2,1,9,
Baramulla,1,2,1,8,
Doda,1,9,1,16,
Ganderbal,1,2,1,11,
Jammu,1,13,1,21,
Kargil,1,8,1,4,
Kathua,1,14,1,7,
Kishtwar,1,9,1,18,
Kulgam,1,6,1,15,
Kupwara,1,1,1,1,
Leh,1,7,1,3,
Pulwama,1,5,1,12,
Poonch,1,11,1,5,
Rajouri,1,12,1,6,
Ramban,1,9,1,17,
Reasi,1,10,1,20,
Samba,1,10,1,22,
Shopian,1,5,1,13,
Srinagar,1,3,1,10,
Udhampur,1,10,1,19,
HIMACHAL PRADESH,2,0,2,0,
Bilaspur,2,8,2,30,
Chamba,2,1,2,23,
Hamirpur,2,6,2,28,
Kangra,2,2,2,24,
Kinnaur,2,12,2,34,
Kullu,2,4,2,26,
Lahaul & Spiti,2,3,2,25,
Mandi,2,5,2,27,
Shimla,2,11,2,33,
Sirmaur (Sirmour),2,10,2,32,
Solan,2,9,2,31,
Una,2,7,2,29,
PUNJAB,3,0,3,0,
Amritsar,3,2,3,49,
Barnala,3,16,3,54,
Bathinda,3,14,3,46,
Faridkot,3,13,3,45,
Fatehgarh Sahib,3,8,3,40,
Firozpur,3,11,3,43,
Gurdaspur,3,1,3,35,
Hoshiarpur,3,5,3,38,
Jalandhar,3,4,3,37,
Kapurthala,3,3,3,36,
Ludhiana,3,9,3,41,
Mansa,3,15,3,47,
Moga,3,10,3,42,
Muktsar,3,12,3,44,
Patiala,3,17,3,48,
Rupnagar,3,7,3,51,
Sahibzada Ajit Singh Nagar (Mohali),3,7,3,52,
Sangrur,3,16,3,53,
Nawanshahr (Shahid Bhagat Singh Nagar),3,6,3,39,
Tarn Taran,3,2,3,50,
CHANDIGARH,4,0,4,0,
Chandigarh,4,0,4,55,
UTTARAKHAND,5,0,5,0,
Almora,5,9,5,64,
Bageshwar,5,8,5,63,
Chamoli,5,2,5,57,
Champawat,5,10,5,65,
Dehradun,5,5,5,60,
Pauri Garhwal,5,6,5,61,
Haridwar,5,13,5,68,
Nainital,5,11,5,66,
Pithoragarh,5,7,5,62,
Rudraprayag,5,3,5,58,
Tehri Garhwal,5,4,5,59,
Udham Singh Nagar,5,12,5,67,
Uttarkashi,5,1,5,56,
HARYANA,6,0,6,0,
Ambala,6,2,6,70,
Bhiwani,6,13,6,81,
Faridabad,6,19,6,88,
Fatehabad,6,10,6,78,
Gurugram (Gurgaon),6,18,6,86,
Hisar,6,12,6,80,
Jhajjar,6,15,6,83,
Jind,6,9,6,77,
Kaithal,6,5,6,73,
Karnal,6,6,6,74,
Kurukshetra,6,4,6,72,
Mahendragarh,6,16,6,84,
Panchkula,6,1,6,69,
Panipat,6,7,6,75,
Rewari,6,17,6,85,
Rohtak,6,14,6,82,
Sirsa,6,11,6,79,
Sonipat,6,8,6,76,
Yamunanagar,6,3,6,71,
DELHI,7,0,7,0,
North West  Delhi,7,1,7,90,Check Ontology
North Delhi,7,2,7,91,
North East  Delhi,7,3,7,92,Check Ontology
East Delhi,7,4,7,93,
New Delhi,7,5,7,94,
Central Delhi,7,6,7,95,
West Delhi,7,7,7,96,
South West  Delhi,7,8,7,97,Check Ontology
South Delhi,7,9,7,98,
RAJASTHAN,8,0,8,0,
Ajmer,8,21,8,119,
Alwar,8,6,8,104,
Banswara,8,28,8,125,
Baran,8,31,8,128,
Barmer,8,17,8,115,
Bharatpur,8,7,8,105,
Bhilwara,8,24,8,122,
Bikaner,8,3,8,101,
Bundi,8,23,8,121,
Chittorgarh,8,29,8,126,
Churu,8,4,8,102,
Dausa,8,11,8,109,
Dholpur,8,8,8,106,
Dungarpur,8,27,8,124,
Sri Ganganagar,8,1,8,99,
Hanumangarh,8,2,8,100,
Jaipur,8,12,8,110,
Jaisalmer,8,16,8,114,
Jalore,8,18,8,116,
Jhalawar,8,32,8,129,
Jhunjhunu,8,5,8,103,
Jodhpur,8,15,8,113,
Karauli,8,9,8,107,
Kota,8,30,8,127,
Nagaur,8,14,8,112,
Pali,8,20,8,118,
Pratapgarh,8,26,8,131,
Rajsamand,8,25,8,123,
Sawai Madhopur,8,10,8,108,
Sikar,8,13,8,111,
Sirohi,8,19,8,117,
Tonk,8,22,8,120,
Udaipur,8,26,8,130,
UTTAR PRADESH,9,0,9,0,
Agra,9,15,9,146,
Aligarh,9,12,9,143,
Allahabad,9,45,9,175,
Ambedkar Nagar,9,48,9,178,
Auraiya,9,32,9,162,
Azamgarh,9,61,9,191,
Baghpat,9,8,9,139,
Bahraich,9,50,9,180,
Ballia,9,63,9,193,
Balrampur,9,52,9,182,
Banda,9,40,9,170,
Barabanki,9,46,9,176,
Bareilly,9,20,9,150,
Basti,9,55,9,185,
Bijnor,9,3,9,134,
Budaun,9,19,9,149,
Chandauli,9,66,9,196,
Chitrakoot,9,41,9,171,
Deoria,9,60,9,190,
Etah,9,17,9,201,
Etawah,9,31,9,161,
Faizabad,9,47,9,177,
Farrukhabad,9,29,9,159,
Fatehpur,9,42,9,172,
Firozabad,9,16,9,147,
Gautam Buddha Nagar,9,10,9,141,
Ghaziabad,9,9,9,140,
Ghazipur,9,65,9,195,
Gonda,9,53,9,183,
Gorakhpur,9,58,9,188,
Hamirpur,9,38,9,168,
Hardoi,9,25,9,155,
Jalaun,9,35,9,165,
Jaunpur,9,64,9,194,
Jhansi,9,36,9,166,
