Cat1,Org1,Cat2,Cat3/Org2,Org3
State & UTs,['Andaman and Nicobar Island (UT)'],Apex Bodies,"[""Governor's Office(Raj Bhavan) (1)""]","[""Lt. Gen. Governor's Office, Andaman and Nicobar Island"", 'http://www.andaman.gov.in/web/guest/lieutenant-governor']"
State & UTs,['Andaman and Nicobar Island (UT)'],Apex Bodies,['Official Portal of State Government (1)'],"['Andaman and Nicobar Administration (UT)', 'http://www.andaman.gov.in']"
State & UTs,['Andaman and Nicobar Island (UT)'],Apex Bodies,['Online Citizen Services Portal (1)'],"['Online Citizen Services Portal, Andaman and Nicobar Administration', 'http://andssw1.and.nic.in/onlineportal']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Agriculture Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,['Andaman & Nicobar Tourism'],[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Andaman Public Works Department (APWD), Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Animal Husbandry and Veterinary Services Department, Andaman & Nicobar']","['Animal Husbandry and Veterinary Services Department, Andaman and Nicobar', 'http://ahvs.andaman.gov.in', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Anti Corruption and Vigilance Department, Andaman & Nicobar']","['Anti Corruption and Vigilance Unit, Andaman and Nicobar', 'http://db.and.nic.in/acvu/home.html', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Civil Supplies and Consumer Affairs Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Cooperative Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Economics & Statistics Department, Andaman & Nicobar']","['Directorate of Economics and Statistics, Andaman and Nicobar', 'http://www.and.nic.in/stats', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Education Department, Andaman & Nicobar']","['Mahatma Gandhi Government College, Mayabunder', 'http://www.and.nic.in/mggc', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Election Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Electricity Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Environment & Forest Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Finance Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Fisheries Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Health Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Industries Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Information, Publicity and Tourism Department, Andaman & Nicobar']","['Search Circulars - Andaman and Nicobar Administration', 'http://www.and.nic.in/circulars', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Information Technology Department, Andaman & Nicobar']","['Online Citizen Services Portal, Andaman and Nicobar Administration', 'http://andssw1.and.nic.in/onlineportal', '']"
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Labour, Employment & Training Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Law & Judiciary Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Planning Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Police Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Relief and Rehabilitation & Disaster Management Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Revenue Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Rural Development & Panchayat Department, Andaman']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Science & Technology Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Shipping & Ports Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Social Welfare Department, Andaman & Nicobar']",[]
State & UTs,['Andaman and Nicobar Island (UT)'],Department,"['Transport Department, Andaman & Nicobar']",[]
